question,category
"After the Super Tuesday primaries, which Democratic candidate will have won the most pledged delegates?",Politics & Governance
Which Republican presidential candidate will win the New Hampshire primary on 9 February?,Politics & Governance
What will be the official U.S. civilian unemployment rate for the month of July 2017?,Economics & Business
"Before 2018, which country will be the first to experience two or more anti-government mass protests within one week?",Politics & Governance
Will Andres Manuel Lopez Obrador win the 2018 Mexican presidential election?,Politics & Governance
What will annual sales of new energy vehicles (NEVs) be in China in 2019?,Economics & Business
What will be the end-of-day spot price of an ounce of gold on 29 September 2017?,Economics & Business
When will clinical human trials for a Zika vaccine begin?,Healthcare & Biology
What will be the end-of-day closing value for the Turkish lira against the US dollar on 30 November 2018?,Economics & Business
When will the government of Iran issue foreign currency denominated bonds?,Economics & Business
Which presidential candidate will win Ohio?,Politics & Governance
Who will win Georgia's 6th Congressional district in the upcoming special election?,Politics & Governance
How many seats will the Justice and Development Party (AKP) win in Turkey's snap elections?,Politics & Governance
Who will win the 2017 Academy Award for Actress in a Leading Role?,Arts & Recreation
"Before 2018, will there be a new president of Zimbabwe?",Politics & Governance
Which presidential candidate will win Florida?,Politics & Governance
Who will win Season 23 of Dancing with the Stars?,Arts & Recreation
"As of 1 November 2016, how much money will the Center for Responsive Politics report that Donald Trump's campaign committee and outside groups have spent on his campaign?",Economics & Business
Which party's candidate will win the next presidential election in France?,Politics & Governance
When will Iraq's Mosul Dam collapse?,Politics & Governance
When will a nominee for FBI director be confirmed by the U.S. Senate?,Politics & Governance
Who will be elected senator from Indiana in the 2018 midterm elections? ,Politics & Governance
Will the Kurdistan Regional Government hold a popular vote on independence before 1 January 2018?,Politics & Governance
How many influenza positive viruses will FluNet record for Costa Rica between 27 November 2017 and 3 December 2017 (epidemiological week 48)?,Healthcare & Biology
Who will be elected governor of Georgia in the 2018 election?,Politics & Governance
Which current candidate for the U.S. Senate will the Center for Responsive Politics list as having raised the most money this election cycle?,Politics & Governance
"Before 1 January 2018, will the U.S. President sign legislation increasing the number of autonomous vehicle exemptions allowed by the Federal Motor Vehicle Safety Standards?",Science & Tech
What will be the closing spot price for Brent crude oil on 22 June 2018?,Economics & Business
How many influenza positive viruses will FluNet record for Egypt between 27 November 2017 and 3 December 2017 (epidemiological week 48)?,Healthcare & Biology
What will Facebook's end-of-day market capitalization be on 28 December 2018?,Economics & Business
Who will be elected governor of Florida in the 2018 election?,Politics & Governance
"In July 2018, how will the Chinese renminbi rank as an international payments currency according to SWIFT?
",Economics & Business
Who will win the 2018 World Series?,Sports
What will be the Bank of England's Bank Rate on 1 April 2019? ,Economics & Business
How many removals will U.S. Immigration and Customs Enforcement conduct in fiscal year 2017?,Politics & Governance
How many House seats held by Republicans from congressional districts carried by Hillary Clinton in 2016 will be won by Democrats in the 2018 midterm elections?,Politics & Governance
"What will be the Hong Kong Dollars to one U.S. Dollar daily exchange rate on 11 December 2017?
",Economics & Business
Will the Democrats gain control of Congress in the 2018 midterm elections?,Politics & Governance
"As of 31 January 2018, what percent of funds of the Vanguard 500 Index Fund will be holdings of Facebook, Apple, Amazon, Microsoft, or Alphabet?
",Economics & Business
How many cases of MERS-CoV in humans will EMPRES-i record in Saudi Arabia between 1 December 2017 and 15 December 2017?,Healthcare & Biology
"Before 1 October 2018, will Amazon announce where its second headquarters is to be located?
",Economics & Business
Which film will win the 2017 Academy Award for Animated Feature Film?,Arts & Recreation
Will North Korea send an official athletic delegation to participate in the 2018 Winter Olympics in South Korea?,Sports
Will Turkey still be under a state of emergency on 1 November 2016?,Politics & Governance
Will anyone other than Abu Bakr al-Baghdadi be proclaimed caliph before 1 October 2017?,Politics & Governance
Who will win Austria's upcoming presidential election?,Politics & Governance
"In US v. California, will the District Court grant any preliminary injunctions against enforcement of California's “sanctuary laws""?",Politics & Governance
"Before 1 January 2018, will Venezuela hold gubernatorial elections?",Politics & Governance
Who will Donald Trump announce as his choice for Secretary of State?,Politics & Governance
"What will be the lowest closing spot price for West Texas Intermediate crude oil, according to the US Energy Information Agency, between 14 September 2015 and 30 December 2015?",Economics & Business
When will a lethal confrontation involving the national military forces of North Korea and either South Korea or the United States result in a fatality for either side?,Politics & Governance
"On 29 June 2018, how many public DC Fast Charge electric vehicle charging stations will be available in the United States?",Science & Tech
"On 1 October 2019, how many countries will be on Russia's food embargo list?
",Economics & Business
"Between 1 October 2018 and 31 December 2019, how many Model 3 cars will Tesla deliver to customers?",Economics & Business
When will Nicolas Maduro cease to be president of Venezuela?,Politics & Governance
"Before 2 June 2018, will the Trump administration exempt Mexico from steel tariffs set to be imposed on 1 June 2018?",Politics & Governance
What will be the daily closing price of Norway's OMX Oslo 20 PI Index (INDEXNASDAQ: OMXO20PI) on 15 December 2017?,Economics & Business
How will Iran rank in the World Economic Forum’s 2016-2017 Global Competitiveness Index?,Economics & Business
What will Gallup report President Trump's net approval rating to be on 28 April 2017?,Politics & Governance
"As of 30 November 2017, how many states, including D.C., will offer expanded Medicaid coverage to people meeting the Affordable Care Act's poverty requirements for expanded coverage?",Healthcare & Biology
"Between 30 November 2018 and 30 September 2019, which country will next land on the moon?",Science & Tech
Who will win the 2017 Academy Award for Actor in a Leading Role?,Arts & Recreation
Will China conduct bilateral military exercises with either Iran or Saudi Arabia before 1 October 2016?,Security & Defenses
How many total civilian deaths for December 2017 will the Syrian Network for Human Rights (SNHR) report?,Politics & Governance
"When will Fitch, Moody's, or S&P next downgrade the United Kingdom's long-term local or foreign currency issuer ratings?",Economics & Business
What will be the end-of-day closing value for the dollar against the renminbi on 30 September 2016?,Economics & Business
Which team will win the NFL’s Super Bowl in 2016?,Sports
How many Eritrean citizens will apply for asylum in Europe for the first time in the first quarter of 2016?,Politics & Governance
What will be the closing spot price for Brent crude oil on 1 October 2018?,Economics & Business
How many land-based intercontinental ballistic missiles (ICBMs) will North Korea launch between 14 July 2017 and 31 December 2018?,Security & Defenses
"In the week following Chile's presidential election, will the end of day closing for the Santiago Stock Exchange drop below 5,000?
",Economics & Business
Who will be elected senator from Arizona in the 2018 midterm elections? ,Politics & Governance
When will Ted Cruz drop out of the race for the Republican presidential nomination?,Politics & Governance
How many battle deaths will ACLED record in Algeria in September 2017?,Politics & Governance
How many NATO members will spend 2% or more of their GDP on defense in 2018?,Politics & Governance
What will be the end-of-day closing value of the Nikkei 225 Index on 29 December 2017?,Economics & Business
How many viewers will tune in to watch Sunday Night Football on 5 November 2017? ,Sports
How many seats in Poland's Sejm will PiS (Law and Justice) win in the upcoming parliamentary elections?,Politics & Governance
What will the Federal Open Market Committee decide to do with respect to the federal funds rate at its scheduled December 2017 meeting?,Economics & Business
"What will be the all-time count of pro-Kremlin disinformation cases identified by the European Union External Action Service's East StratCom Task Force as of 18 April 2019?
",Politics & Governance
Which current candidate for the U.S. House of Representatives will the Center for Responsive Politics list as having raised the most money this election cycle?,Politics & Governance
"Before 1 July 2017, will Philippine President Rodrigo Duterte proclaim martial law?",Politics & Governance
"Between 1 January 2019 and 31 December 2019, how many reports of traffic accidents involving an autonomous vehicle will the California Department of Motor Vehicles receive?",Science & Tech
What percentage of U.S. equity funds will be outperformed by the S&P Composite 1500 index for the one-year period ending 30 June 2017?,Economics & Business
What will be the approval rating for the Russian government in December 2017?,Politics & Governance
"Before 1 July 2018, will Tesla announce that it will build a factory to manufacture electric vehicles in China?",Economics & Business
What will be the percent change of the US Consumer Price Index for All Urban Consumers (CPI-U) for the 12 months ending in June 2018?,Economics & Business
What will be the end-of-day closing value for the dollar against the renminbi on 28 April 2017?,Economics & Business
Will Verizon and Yahoo conclude their merger before 1 June 2017?,Economics & Business
Which NFL team will win the NFC Championship?,Sports
"What will be the daily closing price of Germany's DAX Performance-Index (INDEXDB: DAX) on 15 December 2017?
",Economics & Business
Which party will the next Canadian Prime Minister come from?,Politics & Governance
"Before 1 April 2018, will President Trump sign legislation protecting DACA participants from deportation?",Politics & Governance
"Of the seven Russian CEOs and government leaders listed below, how many will cease to hold their current positions by 1 July 2018?",Politics & Governance
"Before 1 January 2020, will the UK and the EU adopt an agreement on which customs territory Northern Ireland will be located in after the end of any Brexit transition period?",Politics & Governance
Which film will win the 2017 Academy Award for Foreign Language Film?,Arts & Recreation
Will local elections be held in the city of Donetsk before 1 January 2017?,Politics & Governance
How much crude oil will Libya produce in September 2017?,Economics & Business
"How many high school students will play eleven-player football in the 2017/18 season?
",Sports
"Between 1 January 2018 and 30 June 2018, how many reports of traffic accidents involving an autonomous vehicle will the California Department of Motor Vehicles receive?",Science & Tech
Which toy will win the Innovative Toy of the Year Award for 2016?,Economics & Business
"What will be Russia's 2019 military expenditure as a percentage of GDP, according to SIPRI?",Politics & Governance
When will Germany announce that it is limiting the total number of asylum seekers or refugees that it will accept?,Politics & Governance
What will be Uber's end-of-day market capitalization on the day of its initial public offering?<br>,Economics & Business
"What will be the closing price of Bitcoin for 26 January 2018, according to CNBC?",Economics & Business
How many people will vote in the 2016 presidential election?,Politics & Governance
Will the UK hold a referendum vote on its relationship with the EU or a snap general election before 29 March 2019? ,Politics & Governance
What will the end-of-day closing value for the British pound against the US dollar be on 30 December 2016?,Economics & Business
"Between September 2017 and February 2018, how many people will be killed by sectarian actors in Nigeria?",Politics & Governance
Who will win the presidential election in Argentina?,Politics & Governance
What will be the valuation of Snap Inc following its initial public offering?,Economics & Business
Which country will win the 2018 FIFA World Cup? ,Sports
What percentage of the popular vote will the Alternative for Germany party win in Germany's next federal election?,Politics & Governance
What will be the end-of-day closing value for the British pound against the US dollar on 29 December 2017?,Economics & Business
Who will win the World Series?,Sports
"How many countries will have a manned, fixed-wing, military aircraft downed in the CENTCOM area of responsibility before 2018?",Security & Defenses
When will Paul Ryan formally endorse Donald Trump for president?,Politics & Governance
"Before 1 April 2019, how many countries will formally progress in the NATO accession process?",Politics & Governance
How many seats in Taiwan's Legislative Yuan will the Democratic Progressive Party (DPP) win in January's elections?,Politics & Governance
Will local elections be held in the city of Donetsk before 1 May 2016?,Politics & Governance
What will the Federal Open Market Committee decide to do with respect to the federal funds rate at its scheduled March 2017 meeting?,Economics & Business
"On 3 January 2019, how many U.S. senators will be women?",Politics & Governance
When will anti-Islamic State forces retake Raqqa?,Politics & Governance
"How many forecasters will join the <i>Global Judgment Challenge</i> on Good Judgment Open before 8 January, 2018? ",Economics & Business
Will the Palestinian Authority hold municipal elections before 1 May 2017?,Politics & Governance
What will be the short-term interest rate for Mexico (MEX) in December 2017?,Economics & Business
"From March through August 2017, how many months will see Macau's monthly gross gaming revenues exceeding 2016 monthly revenues by 10% or more?",Economics & Business
What will the closing price of the Brazilian real-to-US dollar exchange rate be on 15 June 2018?,Economics & Business
How many countries will Russia remove from its food embargo list before 6 August 2016?,Economics & Business
What will be the end-of-day closing value for the euro against the U.S. dollar on 15 February 2018?,Economics & Business
"Which party will win Ohio's 12th Congressional District special election?
",Politics & Governance
When will Pierre Nkurunziza cease to be president of Burundi?,Politics & Governance
Which film will win the 2017 Academy Award for Documentary (Feature)?,Arts & Recreation
What will be the daily closing price of gold on 27 December 2017 in USD?,Economics & Business
Which team will win the 2018 NCAA Division I Women's Basketball Championship?,Sports
How many worker protests will the China Labor Bulletin record from 1 May 2016 to 1 November 2016?,Economics & Business
Which team will win the 2015-2016 NBA Finals?,Sports
"For how many weeks will Adam Grant's ""Think Again"" be on the New York Times Best Sellers list for Combined Print & E-Book Nonfiction between 21 February 2021 and 11 July 2021?",Economics & Business
What will be the annualized rate of housing starts for October 2021?,Economics & Business
Will the People's Republic of China and the EU sign a Comprehensive Agreement on Investment before 1 January 2022?,Economics & Business
What will be Nike's sales in Greater China in its 2023 fiscal year (FY2023)?,Economics & Business
What will be the 2020 industry-wide average cost of Li-ion batteries used in battery-powered electric vehicles?,Science & Tech
Who will win the election for Georgia's 7th Congressional District in 2020?,Politics & Governance
"At close of business on 27 July 2022, will the upper limit of the Federal Reserve's target range for the federal funds rate be lower, the same, or higher than it was at close of business on 15 June 2022?",Economics & Business
"Between 6 January 2023 and 29 December 2023, what will be the highest four-week average of US field production of crude oil?",Economics & Business
"What will be the national average price of a gallon of gasoline on 7 August 2023, according to the American Automobile Association (AAA)?",Economics & Business
"At close of business on 22 March 2023, will the upper limit of the Federal Reserve's target range for the federal funds rate be lower, the same, or higher than it was at close of business on 1 February 2023?",Economics & Business
How many total confirmed cases of COVID-19 will the World Health Organization (WHO) report for Brazil as of 31 July 2021?,Healthcare & Biology
Which country will win the 2020 Olympic gold medal in women's football (soccer)?,Sports
Which NFL team will win the AFC East division in the 2023 season?,Sports
How many nonfarm job openings in the US will the Bureau of Labor Statistics (BLS) report for March 2023?,Economics & Business
"At close of business on 16 June 2021, will the upper limit of the Federal Reserve's target range for the federal funds rate be lower, the same, or higher than it was at close of business on 28 April 2021?",Economics & Business
How many U.S. states will have an infection rate of 1.0 or greater for COVID-19 as of 31 March 2021?,Healthcare & Biology
"What will be the price of palladium on 21 October 2022, according to the London Metal Exchange?",Economics & Business
Who will win the Democratic primary for the US Senate election for New Jersey in 2024?,Politics & Governance
Who will win the 2024 Panamanian presidential election?,Politics & Governance
What will be the 12-month percentage change in the US Consumer Price Index (CPI) for December 2023?,Economics & Business
How many U.S. states will have a 1.0 or greater effective reproduction number (Rt) for COVID-19 as of 31 August 2020?,Healthcare & Biology
When will 300 million people in India receive at least one dose of a COVID-19 vaccine?,Healthcare & Biology
How many seats will the United Russia party win in the 2021 Russian State Duma elections?,Politics & Governance
How many US House seats will Republicans win in the 2022 midterm elections?,Politics & Governance
"When will the year-over-year percentage change in the Personal Consumption Expenditures (PCE) Price Index Excluding Food and Energy (aka ""Core"") next be 2.000% or lower?",Economics & Business
"What will be the closing price per barrel for West Texas Intermediate (WTI) crude oil on 13 August 2020, according to Bloomberg?",Economics & Business
"How many people in the US will have received one or more doses of a COVID-19 vaccine as of 31 May 2021, according to the CDC?",Healthcare & Biology
What will be the monthly percentage change in US retail sales for December 2023?,Economics & Business
When will Benjamin Netanyahu cease to be the prime minister of Israel?,Politics & Governance
When will the city block including Al-Shifa hospital in Gaza City be under the control of the Israeli forces?,Politics & Governance
"When will hospitalizations for confirmed cases of COVID-19 in New York City (NYC) next reach or exceed 1,000 in a single day?",Healthcare & Biology
Which team will win the 2022 NBA Finals?,Sports
What will be the end-of-day closing value for the U.S. dollar against the Chinese yuan on 13 November 2020?,Economics & Business
When will the US Transportation Security Administration (TSA) next screen 2.3 million or more travelers per day for three consecutive days?,Economics & Business
Who will be elected governor of Missouri in 2020?,Politics & Governance
"How many novel drugs will be approved by the US Food and Drug Administration (FDA) for rare (aka ""orphan"") diseases in 2024?",Healthcare & Biology
"Between 24 December 2021 and 31 March 2022, what will be the highest seven-day average for COVID-19 patients in the UK to be admitted to [a] hospital?",Healthcare & Biology
How many confirmed cases of COVID-19 will have been reported by the World Health Organization (WHO) for Spain as of 1 May 2020?,Healthcare & Biology
When will the first Major League Baseball game of the 2020 season be played?,Sports
How many total Model 3 and Model Y vehicles will Tesla deliver to customers in 2022?,Economics & Business
"If Israeli Defense Forces (IDF) ground forces invade the Gaza Strip before 7 November 2023, when will Israel publicly announce or acknowledge that IDF ground forces have left the Gaza Strip?",Politics & Governance
"What will President Biden’s approval rating be as of 5 March 2024, according to FiveThirtyEight?",Politics & Governance
"How many people in the US will have received one or more doses of a COVID-19 vaccine as of 30 April 2021, according to the CDC?",Healthcare & Biology
What will be the US annual real GDP growth rate for the first quarter of 2023?,Economics & Business
"Between 7 July 2020 and the end of the season, how many NBA players residing at the Walt Disney World complex will test positive for COVID-19, according to the NBA?",Sports
When will a new Dutch government be sworn in?,Politics & Governance
Will the UN Security Council or UN General Assembly vote on a resolution concerning outer space before 1 May 2021?,Politics & Governance
"Before 1 January 2021, who will be elected to be the next leader of Germany's Christian Democratic Union (CDU) party?",Politics & Governance
"What will be the 3-month moving average of median wage growth for ""Paid hourly"" workers in April 2023?",Economics & Business
What will be the closing value of the Dow Jones Industrial Average on 31 December 2021?,Economics & Business
What will be the closing yield for the 10-year US Treasury on 16 September 2021?,Economics & Business
Which political party will win the most seats in the next Northern Ireland Assembly election?,Politics & Governance
"When will the 7-day rolling average of confirmed cases of COVID-19 in New York City (NYC) next reach or exceed 1,500?",Healthcare & Biology
Who will win the election for California's 25th Congressional District in 2020?,Politics & Governance
Which party's candidate will win the next presidential election in South Korea?,Politics & Governance
What percentage of the vote will Marine Le Pen win in the 2022 French presidential election runoff?,Politics & Governance
"Before 1 July 2021, will presidential and/or parliamentary elections be held in Kyrgyzstan?",Politics & Governance
"What will be Saudi Arabia's crude oil production for July 2021, according to OPEC?",Economics & Business
"How many job openings in the trade, transportation, and utilities industries will the Bureau of Labor Statistics (BLS) report for November 2021?",Economics & Business
What will be the 12-month percentage change in the US Consumer Price Index (CPI) for March 2023?,Economics & Business
Which team will win the 2021 NBA Championship?,Sports
What will be the average price of a gallon of gasoline in the US for the week ending 19 December 2022?,Economics & Business
What percentage of the 2022 Chilean referendum vote will be to approve the new constitution?,Politics & Governance
How many seats in the Lok Sabha will the National Democratic Alliance (NDA) win in the next Indian general election?,Politics & Governance
"Between 4 August 2023 and 28 December 2023, how many Palestinians in the West Bank and Gaza Strip will be killed by Israeli forces, according to B’Tselem?",Politics & Governance
What will be the US civilian unemployment rate (U3) for April 2023?,Economics & Business
"Between 29 October 2021 and 30 June 2022, how many members will announce their withdrawal from the Cooperation between China and Central and Eastern European Countries (China-CEEC) initiative?",Politics & Governance
What will be the ending stocks of crude oil in the US Strategic Petroleum Reserve (SPR) in November 2023?,Economics & Business
Who will win the election for New Mexico's 2nd Congressional District in 2020?,Politics & Governance
"When will SpaceX's satellite internet service, Starlink, begin offering commercial service in North America?",Science & Tech
"Between 1 January 2021 and 31 December 2022, will a firm or paid backup driver operating a self-driving vehicle face criminal charges in relation to an accident involving a self-driving vehicle in the U.S.?",Science & Tech
How many deaths attributed to COVID-19 in the US will be reported for the week ending 3 July﻿ 2021?,Healthcare & Biology
When will Kais Saied flee Tunisia or cease to be its president?,Politics & Governance
Who will win the U.S. Senate election for Maine in 2020?,Politics & Governance
What will be the closing value for the US dollar to Chinese renminbi (aka yuan) exchange rate on 14 April 2023?,Economics & Business
When will US legislation appropriating new funding for government and/or military assistance to Ukraine become law?,Politics & Governance
Which team will win the 2023 Rugby World Cup?,Sports
"What will be the office vacancy rate for the Greater Toronto Area in the fourth quarter of 2022, according to Colliers?",Economics & Business
Who will win the 2020 NBA Most Valuable Player Award?,Sports
How many total Model 3 and Model Y vehicles will Tesla deliver to customers in 2020?,Economics & Business
How many total cases of COVID-19 in the U.S. will The COVID Tracking Project report as of Sunday 19 April 2020?,Healthcare & Biology
How many job openings in the US will the Bureau of Labor Statistics (BLS) report for November 2023?,Economics & Business
What will be the annual percentage change in the average hourly earnings of US private sector employees in October 2022?,Economics & Business
Will Finland and/or Sweden become members of NATO before 1 July 2023?,Politics & Governance
How many total deaths attributed to COVID-19 in the US will be reported as of 1 May 2022?,Healthcare & Biology
Which team will be at the top of the English Premier League as of the end of 6 May 2023?,Sports
Who will win the election for Oklahoma's 5th Congressional District in 2020?,Politics & Governance
"Between 1 August 2023 and 30 November 2023, how many total fatalities will occur in Niger due to conflicts and protests, according to ACLED?",Politics & Governance
Will the rate of new daily confirmed cases of COVID-19 per 100k people in Massachusetts be higher on 19 October 2021 than it was on 7 September 2021?,Healthcare & Biology
"Between 18 June 2021 and 18 July 2021, will protests in Peru result in any fatalities?",Politics & Governance
"According to The Infinite Dial 2022, what percentage of the US population will have ""listened to a podcast in the last month?""",Economics & Business
What will be the closing value of the S&P 500 Index on 30 September 2020 relative to its closing value on 30 June 2020?,Economics & Business
When will the EU amend its Own Resources Decision to help finance the EU's proposed COVID-19 recovery package?,Economics & Business
How many total vehicles will Tesla deliver to customers in 2023?,Economics & Business
What will be the closing value of the US dollar/Russian ruble exchange rate on 15 July 2022?,Economics & Business
How many total Model 3 and Model Y vehicles will Tesla deliver to customers in 2021 and 2022?,Economics & Business
"Between 30 April 2021 and 31 December 2021, how many times will the Council of the European Union impose new restrictive measures (sanctions) on China over human rights violations and abuses in Xinjiang?",Politics & Governance
What will be the lowest daily reported arctic sea ice extent in 2022 as of 11 October 2022?,Science & Tech
"When will the 7-day moving average of daily cases of COVID-19 in the US reported to the CDC next reach or exceed 200,000?",Healthcare & Biology
"How many Battery Electric Vehicles (BEVs) will be registered in the UK in 2022, according to the Society of Motor Manufacturers and Traders (SMMT)?",Economics & Business
Will there be a shutdown of the US federal government before 1 July 2024?,Politics & Governance
How many job openings in the US will the Bureau of Labor Statistics (BLS) report for June 2023?,Economics & Business
"Between 26 January 2021 and 31 December 2021, how many members of the Politburo will Chinese state media announce have been arrested and/or expelled from their posts?",Politics & Governance
"Between 19 November 2021 and 31 December 2022, how many countries will sign their first Belt and Road Initiative (BRI) memorandum of understanding with the People's Republic of China (PRC)?",Politics & Governance
Will the Democratic Party win a majority of seats in the Virginia state House and/or Senate in the 2023 legislative elections?,Politics & Governance
"When will 25,000 or more fans next attend a Premier League match?",Sports
"What will be the market capitalization for the global cryptocurrency market on 2 December 2022, according to CoinMarketCap?",Economics & Business
How many deaths attributed to COVID-19 will have been reported by the World Health Organization (WHO) for Spain as of 1 May 2020?,Healthcare & Biology
What will be the 2022 industry-wide average cost of Li-ion batteries used in battery-powered electric vehicles?,Science & Tech
Which NFL team will win the NFC North division in the 2023 season?,Sports
"What will be the national average price of a gallon of gasoline on 5 March 2024, according to the American Automobile Association (AAA)?",Economics & Business
When will Rishi Sunak cease to be prime minister of the United Kingdom?,Politics & Governance
"When will fatalities caused by the Wuhan coronavirus (2019-nCoV) exceed those from Severe Acute Respiratory Syndrome (SARS), according to the World Health Organization (WHO)?",Healthcare & Biology
What will be the closing stock price of Chevron on 5 August 2020?,Economics & Business
Which publicly traded US company will have the highest end-of-day market capitalization as of 30 June 2022?,Economics & Business
"When will COVID-19 cases caused by the Omicron variant (B.1.1.529) exceed 100,000 in the UK?",Healthcare & Biology
How many worker actions will the China Labour Bulletin (CLB) report between 1 December 2022 and 31 May 2023?,Economics & Business
Will the Union Solidarity and Development Party (USDP) win more total Assembly seats in Myanmar's 2020 election than it did in the 2015 election?,Politics & Governance
"What will be the national average price of a gallon of gasoline on 22 November 2023, according to the American Automobile Association (AAA)?",Economics & Business
Which presidential candidate will win Texas?,Politics & Governance
Which team will win the FA Cup?,Sports
Who will win the 2020 Taiwan presidential election?,Politics & Governance
"On 1 September 2020, how many states will report a COVID-19 positivity rate greater than 10.0%?",Healthcare & Biology
What will be the value of China's NBS Manufacturing Purchasing Managers Index (PMI) for September 2023?,Economics & Business
"By when will more than 15,000,000 COVID-19 tests have been conducted in the United States?",Healthcare & Biology
When will North Korea next successfully put a satellite into orbit?,Security & Defenses
Which NFL team will win Super Bowl LV?,Sports
"When will Telegram’s digital currency, Gram, launch for the public?",Economics & Business
When will an NBA game next be played?,Sports
Which team will win the 2023 Major League Soccer (MLS) Cup final?,Sports
Who will be appointed as the next leader of the Communist Party in Vietnam?,Politics & Governance
Will SpaceX and/or Virgin Galactic complete a successful space tourist flight before 1 January 2022?,Science & Tech
"How many total hurricanes will occur in the Atlantic Ocean in the 2023 hurricane season, according to the National Hurricane Center?",Science & Tech
How many confirmed cases of COVID-19 will have been reported by the World Health Organization (WHO) for the United Arab Emirates as of 15 May 2020?,Healthcare & Biology
"What will be the US national average price of a gallon of gasoline on 15 May 2023, according to the American Automobile Association (AAA)?",Economics & Business
Which NFL team's offense will average the most yards per game in the 2020 regular season?,Sports
When will Israel publicly announce the beginning of a ceasefire in the whole Gaza Strip?,Politics & Governance
"What will be the global price of wheat in November 2021, according to the IMF?",Economics & Business
Who will President Biden announce as his choice to replace Justice Breyer on the US Supreme Court?,Politics & Governance
How many confirmed cases of COVID-19 will have been reported by the World Health Organization (WHO) for the United Kingdom as of 30 June 2020?,Healthcare & Biology
Which team will win the 2021 Formula One World Constructors' Championship?,Sports
What will be the price of Bitcoin on 30 November 2022?,Economics & Business
"What will be the People's Republic of China's (PRC's) ""Urban Surveyed Unemployment Rate of the Population Aged from 16 to 24(%)"" for June 2023?",Economics & Business
"As of 31 August 2022, how many confirmed cases of monkeypox will be reported in countries where the disease is not endemic, according to Global Health?",Healthcare & Biology
Who will win the Republican primary for governor of Georgia in 2022?,Politics & Governance
"When will North Korea next launch an ICBM with an estimated range of at least 10,000 km?",Politics & Governance
In what place will Rep. Lauren Boebert come in the 2024 Republican primary for Colorado's 4th Congressional District?,Politics & Governance
"Where will Dubai International Airport (DXB) rank among the busiest airports in the world by passenger number for 2022, according to the Airports Council International (ACI)?",Economics & Business
"At close of business on 15 December 2021, will the upper limit of the Federal Reserve's target range for the federal funds rate be lower, the same, or higher than it was at close of business on 3 November 2021?",Economics & Business
When will Netflix next report more subscribers in a quarter than Disney?,Economics & Business
When will a Carnival Cruise Line cruise next depart from the continental U.S.?,Economics & Business
"At close of business on 29 January 2020, will the upper limit of the Federal Reserve's target range for the federal funds rate be lower, the same, or higher than it was at close of business on 11 December 2019?",Economics & Business
"When will be the number of COVID-19 Hospitalizations in the state of Texas for a single day next be 2,500 or lower?",Healthcare & Biology
Which ensemble will win the 2020 Screen Actors Guild Award for Outstanding Performance by an Ensemble in a Drama Series?,Arts & Recreation
How many US adult and pediatric hospital admissions with confirmed COVID-19 cases will there be for the week ending 3 July 2021?,Healthcare & Biology
"What will be the percentage increase in the producer price index (PPI) for ""Self-Service Storage and Miniwarehouses"" for December 2022 as compared to December 2021?",Economics & Business
Which film will win the 2020 Oscar® for Directing?,Arts & Recreation
"As of 9 May 2020, how many COVID-19 related deaths will have occurred in the U.S. as reported by COVID Tracker?",Healthcare & Biology
What will be the 12-month percentage change in the US Consumer Price Index (CPI) for November 2023?,Economics & Business
"What will be the US domestic box office gross in the opening weekend for Avatar: The Way of Water, according to Box Office Mojo?",Arts & Recreation
What percentage of the labour force in British Columbia (BC) will be comprised of landed immigrants in 2023?,Economics & Business
"How many people in the U.S. will have received one or more doses of a COVID-19 vaccine as of 31 March 2021, according to the CDC?",Healthcare & Biology
"Before 4 January 2023, will a United States Supreme Court seat be vacated?",Politics & Governance
When will a new Dutch government be sworn in after the 2021 general election?,Politics & Governance
Who will win the 2020 Ohio Democratic primary?,Politics & Governance
What will be the closing price of Tesla stock on 31 December 2020?,Economics & Business
What percentage of valid votes will the Luiz Inácio Lula da Silva win in the first round of the 2022 Brazilian presidential election?,Politics & Governance
"At close of business on 30 December 2022, will Apple be the most valuable publicly traded company in the world?",Economics & Business
In how many states will Kanye West appear on the ballot for the 2020 presidential election?,Politics & Governance
What will be the Bank of England's Bank Rate at close of business on 21 September 2023?,Economics & Business
"Before 9 April 2024, will Senator Krysten Sinema publicly announce whether she is running in the US Senate election for Arizona in 2024?",Politics & Governance
How many new deaths attributed to COVID-19 in the US will be reported between 1 October 2022 and 31 March 2023?,Healthcare & Biology
What will be the US domestic box office gross in the opening weekend for the next James Bond film No Time to Die?,Arts & Recreation
How many twenty-foot equivalent units (TEUs) of cargo will the Port of Los Angeles report for November 2021?,Economics & Business
When will the SARS-CoV-2 Omicron subvariant XBB represent more than 70.0% of total COVID-19 cases in the US?,Healthcare & Biology
"Before 1 July 2020, will Nepal release its 2020 census results for Indian rhinoceros?",Science & Tech
How many New York City eviction filings will be reported for 2021?,Economics & Business
What will be the value of the US Manheim Used Vehicle Value Index for June 2023?,Economics & Business
"When will all work stoppages (either strikes or lockouts) involving the United Auto Workers (UAW) union and the ""Big Three"" US automakers cease?",Economics & Business
What will be China's annual GDP growth rate for the fourth quarter of 2022?,Economics & Business
What will be the US civilian unemployment rate (U3) for August 2021?,Economics & Business
How many U.S. states will have a 1.0 or greater effective reproduction number (Rt) for COVID-19 as of 11 January 2021?,Healthcare & Biology
