question,domain
NBA: Will the Celtics beat the Spurs by more than 3.5 points in their November 26th matchup?,Sports
"Will $ETH hit $2,000 again by July 31?",Economics & Business
"NBA: Will the Warriors beat the Mavericks by more than 6.5 points in their May 20, 9:00 PM ET matchup?",Sports
"Will the price of Unisocks be above $100,000 on February 28, 2021?",Economics & Business
NHL: Will the Panthers beat the Blue Jackets by more than 1.5 goals in their January 31 matchup (7 PM ET)?,Sports
NFL: Will the Panthers beat Washington by more than 3.5 points in their November 21st matchup?,Sports
"Will the US Senate pass H.R. 3684 INVEST in America Act by August 10, 2021?",Politics & Governance
Will the AAVE governance proposal AIP 22 pass?,Politics & Governance
Will Paul Cezanne's “L'Estaque aux toits rouges” (Lot 10C) sell for more than $55m at Christie’s on November 11?,Arts & Recreation
"NBA: Will the Warriors beat the Nuggets by more than 1.5 points in their April 21, 10:00 PM ET matchup?",Sports
(In-game Trading) Will the Rams beat the Seahawks by more than 2.5 points in their week five matchup?,Sports
NHL: Will the Ducks beat the Kraken by more than 1.5 goals in their February 11 matchup (10 PM ET)?,Sports
"NHL: Will the Blues beat the Coyotes by more than 2.5 goals in their April 4, 8:00 PM ET matchup?",Sports
Will Joseph Delong announce he’s leaving SushiSwap as CTO before 2022?,Economics & Business
"Will dYdX suffer an exploit by March 31st, 2022?",Security & Defenses
NBA: Will the Wizards beat the Raptors by more than 3.5 points in their November 3rd matchup?,Sports
"NBA: Will the Celtics beat the Heat by more than 6.5 points in their May 21, 8:30 PM ET matchup?",Sports
Will more than 3.45 million people travel via New York City subway on any day before December 1?,Economics & Business
Will Trump complete his first term?,Politics & Governance
Will the floor price of Bored Apes be above 110 ETH on May 19?,Economics & Business
Oscars 2022: Will Licorice Pizza win Best Original Screenplay?,Arts & Recreation
NBA: Will the Nuggets beat the Trail Blazers by more than 10.5 points in their January 13 matchup?,Sports
Will 'Sonic the Hedgehog 2' gross $50 million or more on opening weekend in the USA?,Arts & Recreation
NHL: Will the Wild beat the Blues by more than 1.5 goals in their April 8 matchup (8 PM ET)?,Sports
"Will the price of a barrel of crude oil be $105 or more on June 30, 2022?",Economics & Business
NBA: Will the 76ers beat the Knicks by more than 4.5 points in their November 8th matchup?,Sports
"Will Vinnie Hacker KO, TKO, or retire Deji? ",Sports
NBA: Will the Wizards beat the Nets by more than 1.5 points in their January 19 matchup?,Sports
NBA: Will the Pelicans beat the Thunder by more than 4.5 points in their November 10th matchup?,Sports
NBA: Will the Cavaliers beat the Knicks by more than 6.5 points in their January 24 matchup?,Sports
World Cup: Saturday - Will Poland beat Saudi Arabia?,Sports
NHL: Will the Penguins beat the Kraken by more than 1.5 goals in their January 27 matchup (7 pm ET)?,Sports
NBA: Will the Hawks beat the Knicks by more than 7.5 points in their November 27th matchup?,Sports
"Will daily atmospheric CO2 be above 414 ppm on November 13, 2021?",Science & Tech
Will Kanye West release a new studio album before 2021?,Arts & Recreation
"Will the AAA US average national gas price drop below $4.00 by April 25, 2022?",Economics & Business
"NHL: Will the Hurricanes beat the Bruins by more than 1.5 goals in their May 2, 7:00 PM ET matchup?",Sports
Will Spotify report at least 164m total premium subscribers in Q2 2021?,Economics & Business
NBA: Will the Bulls beat the Spurs by more than 5.5 points in their February 14 (8 PM ET) matchup?,Sports
"Will Claude Monet's “Au jardin, la famille de l’artiste” (Lot 41C) sell for more than $18m at Christie’s on November 11?",Arts & Recreation
Will the floor price of Bored Apes be above 65 ETH on January 14?,Economics & Business
Will the Lightning beat the Capitals by more than 1.5 goals in their April 6 matchup (7.30 PM ET)?,Sports
Formula 1: Will 17 or more drivers complete the 2023 Austrian Grand Prix?,Sports
"Will more than 2 million people travel through a TSA checkpoint on 7 consecutive days before June 1, 2022?",Security & Defenses
Will Logan Paul knock down Floyd Mayweather?,Sports
Will weekly jobless claims exceed 265k for the week ending on August 13?,Economics & Business
"Will the 7-day average COVID-19 case count in the US be less than 15,000 for the day of July 22? ",Healthcare & Biology
"NCAAB: Will the Texas Tech Red Raiders beat the Notre Dame Fighting Irish by more than 7.5 points in their March 20, 7:10 PM ET matchup?",Sports
NHL: Will the Golden Knights beat the Coyotes by more than 1.5 goals in their April 9 matchup (10 PM ET)?,Sports
NBA: Will the Grizzlies beat the Knicks by more than 9.5 points in their March 11 (8 PM ET) matchup?,Sports
Will Wayne Thiebaud’s “Winding River” sell for more than $8M at Phillips?,Arts & Recreation
Will ‘Doctor Strange in the Multiverse of Madness’ gross between $180 million and $200 million on its opening weekend in the USA?,Arts & Recreation
Will the floor price of CryptoPunks be above 69 ETH on January 13?,Economics & Business
Will Rodolfo Hernández win the 2022 Colombian presidential election?,Politics & Governance
"Will Terra USD (UST) fall below 50 cents by July 30, 2022?",Economics & Business
NBA: Will the Nets beat the Pistons by more than 11.5 points in their October 31st matchup?,Sports
Will Ethereum reach $3000 by Valentine's Day?,Economics & Business
NBA: Will the Warriors beat the Rockets by more than 10.5 points in their January 31 (8 PM ET) matchup?,Sports
Will Richard Rapport win the 2021 Norway Chess tournament?,Sports
NFL: Will the Colts beat the Patriots by more than 2.5 points in their December 18 matchup?,Sports
NFL: Will the Ravens beat the Steelers by more than 6.5 points in their December 5 matchup?,Sports
"NHL: Will the Lightning beat the Leafs by more than 1.5 goals in their April 21, 8:00 PM ET matchup?",Sports
Will FTX become insolvent by EOY?,Economics & Business
Will Chelsea qualify for next season's Champions League?,Sports
Will Man City beat Fulham?,Sports
Will Zelenskyy and Biden meet in person by April 30?,Politics & Governance
NBA: Will the Nuggets beat the Trail Blazers by more than 7.5 points in their February 27 (9 PM ET) matchup?,Sports
"NBA: Will the Celtics beat the Timberwolves by more than 6.5 points in their March 27, 6:10 PM ET matchup?",Sports
Will there be another (1072nd) NFL Scorigami in December 2021?,Sports
Will ‘Top Gun: Maverick’ gross $100 million or more on the 4-day Memorial Weekend domestically?,Arts & Recreation
"Will Ottawa cease to be in a state of emergency before February 22, 2022?",Politics & Governance
Will Matt Dolan win the Republican nomination for the 2022 United States Senate election in Ohio?,Politics & Governance
"Will the price of a barrel of crude oil be $85.00 or more on September 26, 2022? (NOV 2022 Future)",Economics & Business
Will the next recession in the US happen in Q4 2021?,Economics & Business
"Will $ETH hit $2,500 by July 31?",Economics & Business
"Will daily atmospheric CO2 be above 418.5 ppm on July 22, 2021?",Science & Tech
Will the U.S. annual inflation on January 2022 exceed 7.0%?,Economics & Business
Will Mario Draghi be elected as President of Italy in the upcoming 2022 Presidential Election?,Politics & Governance
NFL: Will the Bengals beat the Steelers by more than 3.5 points in their November 28th matchup?,Sports
"Will $ETH be above $1,000 on July 8?",Economics & Business
Will Magnus Carlsen win the 2021 Meltwater Champions Chess Tour Finals?,Sports
Will England win the Euro 2020?,Sports
Will Sumar win over 13.5% of votes in the 2023 Spanish general election?,Politics & Governance
NBA: Will the Jazz beat the Lakers by more than 4.5 points in their February 16 (10 PM ET) matchup?,Sports
NFL: Will the Buccaneers beat the Giants by more than 10.5 points in their November 22 matchup?,Sports
Will Novak Djokovic win the 2022 French Open (Roland-Garros) Men's Singles?,Sports
Will the Ethereum ($ETH) Market Cap be above $520 billion on December 9?,Economics & Business
"$2000 stimulus checks by February 28, 2021?",Economics & Business
"Will US student loan payments resume by Election Day, 2022?",Politics & Governance
"Will the price of a barrel of crude oil be $80 or more on October 3, 2022? (NOV 2022 Future)",Economics & Business
Will Vincent van Gogh's “Jeune homme au bleuet” (Lot 20C) sell for more than $7m at Christie’s on November 11?,Arts & Recreation
Will Saudi Arabia boost oil production in Q4?,Economics & Business
"Will there be a named tropical system Wanda that forms before November 1st, 2021?",Science & Tech
NBA: Will the Clippers beat the Heat by more than 4.5 points in their November 11th matchup?,Sports
Will weekly jobless initial claims exceed 205k for the week ending on September 17?,Economics & Business
NHL: Will the Kings beat the Coyotes by more than 1.5 goals in their February 19 matchup (9 PM ET)?,Sports
"Will at least 1% of U.S. COVID-19 cases be from the Omicron variant on January 1, 2022?",Healthcare & Biology
Will Kyrie Irving play any games by November 15?,Sports
NBA: Will the Jazz beat the Trail Blazers by more than 7.5 points in their November 29th matchup?,Sports
Will the Twitter profile @ElonJet remain active through September 1?,Science & Tech
(In-Game Trading) Will Washington beat the Atlanta Falcons by over 1.5 points in their week four matchup?,Sports
NFL: Will the Bengals beat the Chargers by more than 2.5 points in their December 5 matchup?,Sports
Will Sergio Moro win 2022 Presidential Elections in Brazil?,Politics & Governance
"NHL: Will the Wild beat the Blues by more than 1.5 goals in their May 4, 9:30 PM ET matchup?",Sports
"Will the floor price of Bored Apes be above 54 ETH on December 22, 2021?",Economics & Business
"Will AnEsonGib KO, TKO, or retire Tayler Holder?",Sports
NHL: Will the Panthers beat the Flames by more than 1.5 goals in their January 18 matchup?,Sports
NBA: Will the 76ers beat the Hawks by more than 7.5 points in their December 23 matchup?,Sports
"Will the 7-day COVID-19 case average in the USA be above 1,000,000 on February 1, 2022?",Healthcare & Biology
NBA: Will the sum of points in Lakers v Celtics be greater than 216.5?,Sports
Will Cy Twombly's “Duino” (Lot 66C) sell for more than $12m at Christie’s on November 11?,Arts & Recreation
NBA: Will the Wizards beat the Celtics by more than 1.5 points in their January 23 matchup?,Sports
Will EUR be worth more than USD again before November?,Economics & Business
Will Real Madrid win the 2021-22 UEFA Champions League?,Sports
"Will $UNI (Uniswap) be above $40 on June 17, 2021?",Economics & Business
Formula 1: Will Max Verstappen win the 2022 Singapore Grand Prix?,Sports
Will Keith Haring’s “Untitled” sell for more than $6 million at Sotheby’s?,Arts & Recreation
NBA: Will the Brooklyn Nets beat Oklahoma City Thunder by more than 5.5 points in their January 13 matchup?,Sports
Will PSOE win over 28.0% of votes in the 2023 Spanish general election?,Politics & Governance
Will the Ravens beat the Bengals by more than 6.5 points in their October 24th matchup?,Sports
Will the USA report a 7-day COVID-19 case average of 400k or more by January 8?,Healthcare & Biology
NBA: Will the Bucks beat the Pistons by more than 6.5 points in their April 8 (7 PM ET) matchup?,Sports
Age of Empires IV: Will MarineLorD make the Golden League Final Bracket?,Sports
NHL: Will the Lightning beat the Flames by more than 1.5 goals in their March 10 matchup (9 PM ET)?,Sports
"Will OpenSea airdrop a native token by March 31st, 2022?",Economics & Business
Will PP win a plurality in the 2023 Spanish general election?,Politics & Governance
Will UST (TerraUSD) regain its peg by May 20?,Economics & Business
NBA: Will the Timberwolves beat the Warriors by more than 5.5 points in their January 16 matchup?,Sports
Will “Jackass Forever” gross domestically more than $30 million on the opening weekend?,Arts & Recreation
Will VOX win over 13.5% of votes in the 2023 Spanish general election?,Politics & Governance
Will Donald Trump file to run for president before 2023?,Politics & Governance
Will the price of $ETH be above $1350 on October 14?,Economics & Business
Will Joe Biden's FiveThirtyEight approval rating be between 42.7% and 42.9% on January 26?,Politics & Governance
Will the San Francisco 49ers win the ‘21-’22 Superbowl?,Sports
Will the Chiefs beat the Eagles by more than 7.5 points in their week four matchup?,Sports
Will weekly jobless initial claims exceed 215k for the week ending September 24?,Economics & Business
Will OpenSea have more volume in February ‘22 than it did in January ‘22?,Economics & Business
Will the Chargers beat the Raiders by more than 3.5 points in their week four matchup?,Sports
"GRAMMYs 2022: Will Lady Gaga's and Tony Bennet's ""I Get a Kick Out of You"" win Record of the Year?",Arts & Recreation
"NHL: Will the Blues beat the Jackets by more than 1.5 goals in their March 19, 5:00 PM ET matchup?",Sports
"NHL: Will the Sharks beat the Ducks by more than 1.5 goals in their March 26, 10:30 PM ET matchup?",Sports
"NBA: Will the 76ers beat the Raptors by more than 2.5 points in their April 20, 8:00 PM ET matchup?",Sports
NBA: Will the Celtics beat the Cavaliers by more than 5.5 points in their December 22 matchup?,Sports
NBA: Will the Bucks beat the Warriors by more than 1.5 points in their March 12 (8.30 PM ET) matchup?,Sports
NHL: Will the Avalanche beat the Jets by more than 1.5 goals in their February 25 matchup (9 PM ET)?,Sports
NHL: Will the Panthers beat the Sharks by more than 1.5 goals in their January 29 matchup (6 PM ET)?,Sports
Will Amber Heard be found liable for defaming Johnny Depp?,Politics & Governance
NBA: Will the Pistons beat the Pelicans by more than 1.5 points in their February 1 (7 PM ET) matchup?,Sports
Will any Knicks game have greater than 20% attendance before the NBA season ends?,Sports
"NHL: Will the Panthers beat the Senators by more than 1.5 goals in their April 28, 7:00 PM ET matchup?",Sports
"Will MetaMask launch a token by March 1st, 2022?",Economics & Business
"Will Curve suffer an exploit by March 31st, 2022?",Security & Defenses
NHL: Will the Panthers beat the Rangers by more than 1.5 goals in their February 1 matchup (7 PM ET)?,Sports
NHL: Will the Jets beat the Kraken by more than 1.5 goals in their February 17 matchup (8 PM ET)?,Sports
Will Mark Rothko’s “Untitled” sell for more than $40 million at Christie’s?,Arts & Recreation
"Will OpenSea launch a token by June 1st, 2022?",Economics & Business
Will the floor price of Bored Apes be above 100 ETH on May 25?,Economics & Business
2022 NBA Playoffs: Will the Miami Heat win the Eastern Conference?,Sports
"NBA: Will the Grizzlies beat the Rockets by more than 10.5 points in their March 20, 3:40 PM ET matchup?",Sports
NHL: Will the Kings beat the Red Wings by more than 1.5 goals in their February 2 matchup (7.30 PM ET)?,Sports
Will President Biden say “Trump” during his October 21st town hall?,Politics & Governance
"Will the US have fewer than 40,000 new COVID-19 cases on any day before April 16, 2021?",Healthcare & Biology
"Will the City of Ottawa cease its state of emergency by March 2, 2022?",Politics & Governance
NHL: Will the Bruins beat the Flyers by more than 1.5 goals in their January 13 matchup?,Sports
"Will American mask usage be 75% or higher on April 14th, 2021?",Healthcare & Biology
"Will President Biden mention ""reset"" in his press conference on January 19 ?",Politics & Governance
"Will ETH be above $1500 on February 3rd, 2021?",Economics & Business
Will UST (TerraUSD) lose its peg by March 1st?,Economics & Business
NBA: Will the Bucks beat the Raptors by more than 7.5 points in their January 15 matchup?,Sports
Will more than 2.25 million people travel through a TSA checkpoint on any day on or before June 1?,Security & Defenses
NHL: Will the Bruins beat the Hurricanes by more than 1.5 goals in their February 10 matchup (7 PM ET)?,Sports
NBA: Will the Mavericks beat the Trail Blazers by more than 4.5 points in their January 26 (10 PM ET) matchup?,Sports
NBA: Will the Knicks beat the Spurs by more than 2.5 points in their December 7 matchup?,Sports
"Will $UST be above $0.10 on May 23, 2022?",Economics & Business
NBA: Will the Jazz beat the Spurs by more than 7.5 points in their December 27 matchup?,Sports
NFL: Will the Chiefs beat the Bengals by more than 7.5 points in their January 30 matchup?,Sports
"Will Apple, Amazon, or Twitter announce a Bitcoin purchase before April 1, 2021?",Economics & Business
NBA: Will the Timberwolves beat the Magic by more than 8.5 points in their November 1st matchup?,Sports
Will Alito deliver the final majority opinion in Dobbs v. Jackson Women's Health Organization?,Politics & Governance
NHL: Will the Penguins beat the Jets by more than 1.5 goals in their January 23 matchup?,Sports
NBA: Will the Nets beat the Cavaliers by more than 6.5 points in their April 8 (7.30 PM ET) matchup?,Sports
"Will the price of a barrel of crude oil be $110 or more on July 11, 2022?",Economics & Business
"Will $BTC break $50k before March 1st, 2021?",Economics & Business
"NHL: Will the Rangers beat the Wings by more than 1.5 goals in their March 30, 7:30 PM ET matchup?",Sports
Will Joe Biden's FiveThirtyEight approval rating be 39.0% or higher on August 4?,Politics & Governance
"Will there be more than 211 million fully vaccinated people in the USA on March 1, 2022?",Healthcare & Biology
Will the next recession in the US happen by Q4 2022?,Economics & Business
"Will the Ethereum Merge (EIP-3675) occur by June 1, 2022?",Science & Tech
2022 Open Championship: Will Cameron Smith win?,Sports
NFL: Will the Cardinals beat the Rams by more than 2.5 points in their December 13 matchup?,Sports
"Will the price of a barrel of crude oil be $100 or more on August 8, 2022?",Economics & Business
Will Joe Biden's FiveThirtyEight approval rating be 37.0% or higher on July 28?,Politics & Governance
NBA: Will the Kings beat the Wizards by more than 1.5 points in their December 15 matchup?,Sports
NBA: Will the Suns beat the Thunder by more than 14.5 points in their December 23 matchup?,Sports
NBA: Will the Pacers beat the Hornets by more than 2.5 points in their December 29 matchup?,Sports
2022 NBA Draft: Will Jabari Smith Jr. be the #1 Pick?,Sports
NBA: Will the Heat beat the Wizards by more than 7.5 points in their November 18th matchup?,Sports
"Will the floor price of Doodles be above 9 ETH on February 1st, 2022?",Economics & Business
Will the Manheim Used Vehicle Value Index be above 200 for July 2021?,Economics & Business
NHL: Will the Maple Leafs beat the Hurricanes by more than 1.5 goals in their February 7 matchup (7 PM ET)?,Sports
Will Brad McClelland be in the winning couple on Love Island UK Season 7?,Arts & Recreation
"NHL: Will the Jets beat the Jackets by more than 1.5 goals in their March 25, 8:00 PM ET matchup?",Sports
NBA: Will the Grizzlies beat the Kings by more than 5.5 points in their December 26 matchup?,Sports
"Will the Senate convict Donald Trump on impeachment by April 29, 2021?",Politics & Governance
NHL: Will the Rangers beat the Kings by more than 1.5 goals in their January 24 matchup?,Sports
NBA: Will the Clippers beat the Trail Blazers by more than 2.5 points in their November 9th matchup?,Sports
"Will Harry Kane sign for Manchester City on or before August 31, 2021?",Sports
NFL: Will the Chargers beat the Patriots by more than 4.5 points in their October 31st matchup?,Sports
NBA: Will the Celtics beat the Mavericks by more than 5.5 points in their March 13 (3.30 PM ET) matchup?,Sports
Will Nikola Jokić win NBA ’21-’22 MVP?,Sports
NBA: Will the Nuggets beat the Suns by more than 3.5 points in their March 24 (9 PM ET) matchup?,Sports
"NHL: Will the Senators beat the Canadiens by more than 1.5 goals in their April 23, 7:00 PM ET matchup?",Sports
"NBA: Will the Bucks beat the Bulls by more than 6.5 points in their March 22, 8:10 PM ET matchup?",Sports
NBA: Will the Knicks beat the Hawks by more than 1.5 points in their December 25 matchup?,Sports
Will Japan qualify from Group E?,Sports
"Will EIP-1559 be implemented live on Ethereum mainnet by 10 AM ET on August 5, 2021?",Science & Tech
NBA: Will the Heat beat the 76ers by more than 1.5 points in their March 5 (7.30 PM ET) matchup?,Sports
Will Max Verstappen finish ahead of Lewis Hamilton in the Brazilian Grand Prix?,Sports
Will Joe Biden's RCP job approval rating on January 21 be 42.2% or more?,Politics & Governance
Will the total value locked (TVL) in DeFi be $85 billion or higher on April 17?,Economics & Business
Will Donald Trump join Parler before Inauguration Day?,Politics & Governance
NBA: Will the Timberwolves beat the Cavaliers by more than 2.5 points in their February 28 (7 PM ET) matchup?,Sports
NBA: Will the Pacers beat the Wizards by more than 1.5 points in their February 16 (7.30 PM ET) matchup?,Sports
NBA: Will the Nuggets beat the Nets by more than 5.5 points in their February 6 (3.30 PM ET) matchup?,Sports
"NHL: Will the Blues beat the Sabres by more than 1.5 goals in their April 14, 7:00 PM ET matchup?",Sports
"Will natural gas close above $8 on June 24, 2022?",Economics & Business
Will the Utah Jazz win the NBA ‘21-’22 Championship?,Sports
NBA: Will the Nets beat the Cavaliers by more than 8.5 points in their April 12 (7 PM ET) matchup?,Sports
"Will 'Lyle, Lyle, Crocodile' gross more than $18 million domestically on its opening weekend?",Arts & Recreation
NBA: Will the Nets beat the Celtics by more than 1.5 points in their 24th November matchup?,Sports
"Will Faze Jarvis KO, TKO, or retire Michael Le?",Sports
NBA: Will the Raptors beat the Hornets by more than 1.5 points in their February 7 (7 PM ET) matchup?,Sports
"NBA: Will the 76ers beat the Hornets by more than 5.5 points in their April 2, 12:30 PM ET matchup?",Sports
Will NASA successfully launch the Space Launch System (SLS) into space by September 5th?,Science & Tech
"Will Youtube bring back the dislike count by January 11, 2022?",Arts & Recreation
"Will MOEX close above 2,500 by April 15, 2022?",Economics & Business
"NCAAB: Will the Duke Blue Devils beat the Arkansas Razorbacks by more than 3.5 points in their March 26, 8:49 PM ET matchup?",Sports
NFL: Will the Saints beat the Jets by more than 5.5 points in their December 12 matchup?,Sports
NBA: Will the Hawks beat the Wizards by more than 4.5 points in their March 4 (7 PM ET) matchup?,Sports
NBA: Will the Bucks beat the Cavaliers by more than 6.5 points in their December 6 matchup?,Sports
OLD USDC Will a new Supreme Court Justice be confirmed before the election?,Politics & Governance
NBA: Will the 76ers beat the Suns by more than 2.5 points in their February 8 (7 PM ET) matchup?,Sports
NBA: Will the Bucks beat the Bulls by more than 4.5 points in their April 5 (8 PM ET) matchup?,Sports
NFL: Will the Patriots beat the Falcons by more than 5.5 points in their November 18th matchup?,Sports
NBA: Will the Suns beat the Trail Blazers by more than 13.5 points in their March 2 (10 PM ET) matchup?,Sports
(In-Game Trading) Will the Jazz beat the Nuggets by more than 7.5 points in their October 26th matchup?,Sports
2022 Open Championship: Will a LIV Golf player win the tournament?,Sports
Will Alfred Sisley's “La Seine à Argenteuil” (Lot 5C) sell for more than $3m at Christie’s on November 11?,Arts & Recreation
"NHL: Will the Stars beat the Canucks by more than 1.5 goals in their March 26, 7:00 PM ET matchup?",Sports
NHL: Will the Wild beat the Bruins by more than 1.5 goals in their March 16 matchup (7.30 PM ET)?,Sports
UFC 269: Will Amanda Nunes KO/TKO/RTD Julianna Pena?,Sports
NBA: Will the Lakers beat the Celtics by more than 2.5 points in their December 7 matchup?,Sports
Formula 1: Will 17 or more drivers complete the 2022 Austrian Grand Prix?,Sports
Will Federico Gutiérrez win the 2022 Colombian presidential election?,Politics & Governance
Will Magnus Carlsen win the FTX Crypto Cup?,Sports
NFL: Will the Vikings beat the Steelers by more than 3.5 points in their December 9 matchup?,Sports
NFL: Will the Chiefs beat the Giants by more than 10.5 points in their November 1st matchup?,Sports
NBA: Will the Raptors beat the Knicks by more than 7.5 points in their January 2 matchup?,Sports
Will Kaz Kamwi be in the winning couple on Love Island UK Season 7?,Arts & Recreation
NBA: Will the Bucks beat the Heat by more than 4.5 points in their March 2 (8 PM ET) matchup?,Sports
NFL: Will the Broncos beat the Bengals by more than 2.5 points in their December 19 matchup?,Sports
World Cup: Friday - Will Uruguay beat Ghana?,Sports
"NHL: Will the Knights beat the Blackhawks by more than 1.5 goals in their April 27, 8:30 PM ET matchup?",Sports
NHL: Will the Capitals beat the Jets by more than 1.5 goals in their January 18 matchup?,Sports
NBA: Will the Bucks beat the Magic by more than 12.5 points in their November 22 matchup?,Sports
NHL: Will the Panthers beat the Sharks by more than 1.5 goals in their March 15 matchup (10.30 PM ET)?,Sports
"NHL: Will the Ducks beat the Coyotes by more than 1.5 goals in their April 1, 10:30 PM ET matchup?",Sports
Will Coinbase delist Ripple (XRP) before they begin publicly trading?,Economics & Business
NFL: Will the Colts beat the Titans by more than 2.5 points in their October 31st matchup?,Sports
"Will The Joe Rogan Experience episode featuring Robert Malone still be available on Spotify on March 31, 2022?",Arts & Recreation
Will Russian Chess Player Sergey Karjakin be removed or withdraw from the FIDE 2022 Candidates Tournament?,Sports
NBA: Will the Lakers beat the Kings by more than 7.5 points in their November 26th matchup?,Sports
(NBA) Bucks in six?,Sports
"NHL: Will the Oilers beat the Sharks by more than 1.5 goals in their April 28, 9:00 PM ET matchup?",Sports
Will the top song on Spotify Charts hit 32M global streams for the week ending on February 17?,Arts & Recreation
"Will Trump win any of Pennsylvania, Arizona or Georgia?",Politics & Governance
NHL: Will the Oilers beat the Red Wings by more than 1.5 goals in their March 15 matchup (9 PM ET)?,Sports
"Will at least 99% of U.S. COVID-19 cases be from the Omicron variant on January 1, 2022?",Healthcare & Biology
"NBA: Will the Bucks beat the Timberwolves by more than 3.5 points in their March 19, 5:10 PM ET matchup?",Sports
NBA: Will the Suns beat the Pelicans by more than 10.5 points in their April 17 (9 PM ET) matchup?,Sports
Will Khabib win his UFC 254 Fight?,Sports
Will Hikaru Nakamura get 9 or more points in the preliminaries of the FTX Crypto Cup?,Sports
Will the Otherdeed floor price be above 3.5 ETH on June 6?,Economics & Business
TEST: EXCITING AND NEW EDITION,DROP
"Will the 7-day COVID-19 Case average in the USA be above 500,000 on February 1, 2022?",Healthcare & Biology
"Will the floor price of Bored Apes be above 79 ETH on February 1st, 2022?",Economics & Business
"Will @Snowden tweet again by May 1, 2022?",Politics & Governance
"NHL: Will the Wild beat the Flames by more than 1.5 goals in their April 28, 8:00 PM ET matchup?",Sports
Will the top song on Spotify Charts hit 30.5M global streams for the week ending on March 24?,Arts & Recreation
"Will the floor price of CryptoPunks be above 50 ETH on February 1st, 2022?",Economics & Business
NBA: Will the Memphis Grizzlies' current winning streak end with 12 or 13 games in a row?,Sports
NBA: Will the Suns beat the Knicks by more than 6.5 points in their March 4 (10 PM ET) matchup?,Sports
"NHL: Will the Lightning beat the Blackhawks by more than 1.5 goals in their April 1, 7:00 PM ET matchup?",Sports
Will the Netherlands be the Group C winner in the Euro 2020?,Sports
NHL: Will the Panthers beat the Canucks by more than 1.5 points in their January 21 matchup?,Sports
NBA: Will the Mavericks beat the Pelicans by more than 8.5 points in their November 8th matchup?,Sports
Will the James Webb telescope be launched successfully before Christmas?,Science & Tech
NHL: Will the Maple Leafs beat the Canadiens by more than 2.5 goals in their April 9 matchup (7 PM ET)?,Sports
"NHL: Will the Canucks beat the Knights by more than 1.5 goals in their April 3, 7:00 PM ET matchup?",Sports
Will Jake Paul win his boxing match against Nate Robinson?,Sports
Will Chelsea London win the 2021-22 English Premier League?,Sports
"Will Bored Ape Yacht Club (BAYC) flip CryptoPunks by January 10, 2022?",Economics & Business
"Will the US hit its highest recorded gas price per gallon according to AAA by March 15, 2022?",Economics & Business
Will Argentina win the 2021 Copa America?,Sports
Oscars 2022: Will any film win 6 or more awards?,Arts & Recreation
"Will at least 90% of U.S. COVID-19 cases be from the Omicron variant on January 1, 2022?",Healthcare & Biology
Will it snow in New Yorks' Central Park on the New Year's Eve (Dec 31)?,Science & Tech
NFL: Will the Chiefs beat the Packers by more than 6.5 points in their November 7th matchup?,Sports
Will the winning margin of the 2021 Tour de France be less than 1 minute?,Sports
Will Founders Fund invest in the next announced Onlyfans fundraising round in 2021?,Economics & Business
NHL: Will the Lightning beat the Bruins by more than 1.5 goals in their April 8 matchup (7 PM ET)?,Sports
Will Real Madrid win 2021-22 La Liga?,Sports
NBA: Will the Nuggets beat the Clippers by more than 7.5 points in their January 19 matchup?,Sports
Will Sherrilyn Ifill be the next nominee for Supreme Court Justice?,Politics & Governance
"Will the floor price of Mutant Apes be above 7 ETH on February 1st, 2022?",Economics & Business
NBA: Will the Celtics beat the Nets by more than 5.5 points in their February 8 (7.30 PM ET) matchup?,Sports
"Will Facebook be online at midnight ET, October 5th?",Science & Tech
NFL: Will the Saints beat the Falcons by more than 5.5 points in their November 7th matchup?,Sports
Will Arsenal beat Bournemouth?,Sports
NHL: Will the Flames beat the Canucks by more than 1.5 goals in their January 29 matchup (10 PM ET)?,Sports
"NBA: Will the Mavericks beat the Wizards by more than 8.5 points in their April 1, 7:10 PM ET matchup?",Sports
NBA: Will the Warriors beat the Nets by more than 6.5 points in their January 29 (8.30 PM ET) matchup?,Sports
NFL: Will the Bears beat the Lions by more than 2.5 points in their November 25th matchup?,Sports
"Will President Biden visit Ukraine by June 1, 2022?",Politics & Governance
Will more than 2.25 million people travel through a TSA checkpoint on any day between Dec. 23 and Dec. 31?,Security & Defenses
"NHL: Will the Panthers beat the Wings by more than 2.5 goals in their April 21, 7:00 PM ET matchup?",Sports
"NHL: Will the Stars beat the Coyotes by more than 2.5 goals in their April 27, 8:30 PM ET matchup?",Sports
"Will EIP-1559 be implemented live on Ethereum mainnet by 8:45 AM ET on August 5, 2021?",Science & Tech
"NHL: Will the Kings beat the Kraken by more than 1.5 goals in their March 28, 10:30 PM ET matchup?",Sports
"Will there be more than 140 million confirmed COVID-19 cases globally by April 20, 2021?",Healthcare & Biology
NBA: Will the Knicks beat the Pacers by more than 3.5 points in their January 4 matchup?,Sports
Will Jeff Koons' “Pancakes” sell for more than $1.5 million at Sotheby’s?,Arts & Recreation
538: Will voters prefer Republicans over Democrats by Election Day?,Politics & Governance
Will Joe Biden's FiveThirtyEight approval rating be 43% or higher on September 29?,Politics & Governance
Will Liz Truss remain Prime Minister of the United Kingdom through 2022?,Politics & Governance
Will 'Thor: Love and Thunder' get a 75% or higher Tomatometer Score?,Arts & Recreation
